ID;Datum;Frage 1 - Welches Geschlecht hast du?;Frage 2 - Wie alt bist du?;Frage 3 - Studierst du aktuell?;Frage 4 - Ich bin mit dem Bereich Verteidigung / Defense als mögliches Tätigkeitsfeld vertraut.;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gehalt;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gutes Arbeitsklima;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Übereinstimmung mit moralischen Werten;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Work-Life-Balance;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gesellschaftlicher Beitrag;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Interesse & Spaß an der Tätigkeit;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Jobsicherheit;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Karriere & Aufstiegsmöglichkeiten;Frage 6 - Was studierst du?;Frage 7 - In welchem Semester bist du?;Frage 8 - In meinem Studiengang wird (Berufs)ethik thematisiert.;Frage 9 - Ich fühle mich durch mein Studium ausreichend auf ethische Fragen in meinem Berufsfeld vorbereitet.;Frage 10 - In welchem Bereich arbeitest du?;Frage 11 - (Berufs)ethik bietet für mich eine Orientierung für mein Handeln.;Frage 12 - Ich kann mir vorstellen, in einem Unternehmen oder Projekt mit Bezug zum Rüstungs-/Verteidigungsbereich zu arbeiten.;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Schutz demokratischer Werte und staatlicher Souveränität;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Geopolitische Verantwortung Deutschlands / Europas;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Berufliche Perspektiven (Karrierechancen);Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Finanzielle Gründe;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Technische Innovation und interessante Projekte;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Keiner der Gründe;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Moralische / ethische Bedenken;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Politische Überzeugung;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Unklare rechtliche Verantwortung;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Soziales Umfeld / Stigmatisierung / Erwartungen anderer;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Keiner der Gründe;Frage 15 - Ich kann mir vorstellen, an einem Forschungsprojekt mit militärischer Förderung teilzunehmen.;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der/Die Ingenieur*in selbst;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Arbeitgeber;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Gesetzgeber /Die Politik;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Auftraggeber;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Die Gesellschaft als Ganzes;Frage 17 - Szenario: Du erhältst zwei gleichwertige Stellenangebote: Angebot A von einer zivilen Firma. Angebot B von einem Rüstungskonzern mit 20 % höherem Gehalt. Vom Inhalt her sind die beiden Angebote gleich herausfordernd und interessant. Was würdest du tun?;Frage 18 - Ich hätte Bedenken, wenn Produkte oder Software, die ich in einem zivilen Unternehmen entwickelt habe, auch im militärischen Bereich verwendet werden (Dual-Use)?;Frage 19 - Ich hätte Gewissenskonflikte, wenn ich im Defense-Bereich arbeiten würde.;Frage 20 - Meine Einstellung zur Arbeit im Verteidigungsbereich hat sich in den letzten 2-3 Jahren verändert.;Frage 21 - Gibt es etwas, das du zum Thema Berufsethik und Defense ergänzen möchtest?;ist anonym;abgeschlossen;beendet;Beantwortungsdauer (in s);Antwort-Quote;Sprache;Startzeit;Endzeit;Laufzeit;Dauer für Seite 1 (in s);Dauer für Seite 2 (in s);Dauer für Seite 3 (in s);Dauer für Seite 4 (in s);Dauer für Seite 5 (in s)
4;02.06.26;Weiblich;18-22;Ja;2;1;4;7;6;8;2;3;5;Informatik;1./2. Semester;Nein;2;Ich arbeite nicht;3;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;;;;Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);;3;5;4;1;3;2;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;3;3;2;;1;1;1;275.6;95.24%;de;02.06.26;02.06.26; 00:04:36;63;21;14;109;68
5;02.06.26;Männlich;18-22;Ja;2;3;6;4;8;5;2;7;1;Informatik;3./4. Semester;Nein;2;Informatik / Software Engineering;3;4;Schutz demokratischer Werte und staatlicher Souveränität;;;Finanzielle Gründe;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;2;5;4;2;3;1;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;1;3;2;Ich finde es komplett legitim sich für den Schutz demokratischer Strukturen einzusetzen. Gewissensbisse sollten meiner Meinung nach dann auftreten, wenn sich Defense in Offense verwandelt oder wenn die Grenze nicht klar erkennbar ist. In meinen Augen trägt man durch Schutz der Demokratie auch einen gewissen gesellschaftlichen Teil bei, auch wenn dieser von anderen vielleicht nicht direkt wahrgenommen wird (in Referenz auf die Frage).;1;1;1;868.54;100%;de;02.06.26;02.06.26; 00:14:29;344;24;31;71;399
6;03.06.26;Männlich;23-27;Ja;2;3;5;6;4;8;2;7;1;Informatik;7./8. Semester;Nein;3;Informatik / Software Engineering;2;5;Schutz demokratischer Werte und staatlicher Souveränität;;Berufliche Perspektiven (Karrierechancen);;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;2;3;4;1;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;3;;1;1;1;303.25;95.24%;de;03.06.26;03.06.26; 00:05:04;58;29;43;56;117
8;03.06.26;Männlich;18-22;Ja;2;2;4;5;7;8;6;3;1;Informatik;3./4. Semester;Nein;4;Ich arbeite nicht;1;4;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;;;;;;;;Keiner der Gründe;4;1;3;2;4;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;;1;1;1;198.44;95.24%;de;03.06.26;03.06.26; 00:03:19;50;21;14;46;67
9;03.06.26;Männlich;18-22;Ja;5;1;6;8;4;7;3;5;2;Social Data Science & Communication;3./4. Semester;Ja, aber nur am Rande;4;Data Science / Data Engineering;1;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;5;1;2;3;Ich würde Angebot B aus anderen Gründen wählen;1;1;3;;1;1;1;176.51;95.24%;de;03.06.26;03.06.26; 00:02:57;45;20;10;32;70
10;03.06.26;Männlich;18-22;Ja;3;5;3;8;1;7;2;4;6;Social Data Science & Communication;3./4. Semester;Ja, aber nur am Rande;3;Anderes;3;3;;;;Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;4;5;4;2;1;3;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;3;;1;1;1;280.71;95.24%;de;03.06.26;03.06.26; 00:04:41;53;23;12;85;108
11;03.06.26;Männlich;23-27;Ja;4;3;7;1;5;6;2;4;8;Social Data Science & Communication;1./2. Semester;Ja, aber nur am Rande;2;Anderes;2;5;;Geopolitische Verantwortung Deutschlands / Europas;;;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;5;2;1;3;Ich würde Angebot B aus anderen Gründen wählen;1;1;1;;1;1;1;144.49;95.24%;de;03.06.26;03.06.26; 00:02:25;48;17;10;28;41
12;03.06.26;Weiblich;28-34;Ja;4;1;5;2;4;7;6;8;3;Social Data Science & Communication;3./4. Semester;Ja;3;Anderes;4;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;Politische Überzeugung;;;;;1;5;2;1;3;4;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;4;5;4;;1;1;1;559.52;95.24%;de;03.06.26;03.06.26; 00:09:20;48;371;21;38;81
15;03.06.26;Weiblich;18-22;Ja;4;1;4;6;2;7;5;3;8;Social Data Science & Communication;3./4. Semester;Ja;4;Ich arbeite nicht;4;3;;;;Finanzielle Gründe;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;3;4;3;2;1;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;3;2;3;;1;1;1;208.21;95.24%;de;03.06.26;03.06.26; 00:03:29;50;39;15;44;61
16;03.06.26;Weiblich;18-22;Ja;3;3;6;5;1;8;2;4;7;Social Data Science & Communication;3./4. Semester;Ja;4;Ich arbeite nicht;4;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;Politische Überzeugung;;;;;2;4;1;3;2;5;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;5;4;4;;1;1;1;166.89;95.24%;de;03.06.26;03.06.26; 00:02:47;53;25;11;24;54
